pilton drive north	None	 tuesday-2
pincott lane	None	 thursday-2
pinkhill park	None	 thursday-2
pitlochry place	None	 friday-1
pitt street	None	 thursday-2
pleasance	None	 thursday-2
polwarth crescent	None	 wednesday-2
prince regent street	None	 wednesday-1
raeburn place	None	 friday-2
rankeillor street	None	 friday-2
regent place	None	 friday-1
riverside	None	 wednesday-2
roseburn terrace	None	 wednesday-1
roseneath street	None	 thursday-1
roseneath terrace	None	 tuesday-1
roxburgh street	None	 wednesday-1
royal park terrace	None	 wednesday-1
royston terrace	None	 wednesday-1
salmond place	None	 thursday-2
shandwick place	None	 wednesday-1
shaw's place	None	 wednesday-1
shaw's street	None	 wednesday-1
shaw's terrace	None	 thursday-1
shrub mount	None	 wednesday-1
sloan street	None	 thursday-1
south gyle gardens	None	 wednesday-1
south oxford street	None	 thursday-1
south sloan street	None	 wednesday-1
spey terrace	None	 friday-1
spottiswoode road	None	 wednesday-1
spottiswoode street	None	 wednesday-1
springvalley gardens	None	 wednesday-2
springvalley terrace	None	 wednesday-2
springwell place	None	 wednesday-1
st margaret's place	None	 thursday-2
st martins glebe	None	 tuesday-1
st stephen place	None	 tuesday-2
st stephen street	None	 friday-1
stenhouse road	None	 wednesday-1
strathearn road	None	 friday-1
strathfillan road	None	 friday-1
suffolk road	None	 thursday-2
tarvit street	None	 wednesday-1
tay street	None	 wednesday-1
thirlestane road	None	 wednesday-2
thistle place	None	 wednesday-2
torrance place	None	 tuesday-1
trinity court	None	 friday-2
umbrella pine terrace	None	 friday-2
upper grove place	None	 thursday-2
usher mews	None	 thursday-2
valleyfield street	None	 thursday-2
viewforth square	None	 tuesday-1
wardie steps	None	 thursday-1
wardlaw place	None	 friday-1
wardlaw terrace	None	 wednesday-1
warrender park crescent	None	 tuesday-2
warrender park road	None	 thursday-2
warrender park terrace	None	 wednesday-2
watson crescent	None	 thursday-2
waverley park	None	 wednesday-1
waverley park terrace	None	 tuesday-2
waverley place	None	 wednesday-1
wellington street	None	 wednesday-1
west newington place	None	 friday-1
west pilton road	None	 tuesday-1
west preston street	None	 tuesday-2
wilkinson drive	None	 friday-2
woodburn terrace	None	 tuesday-1
woodcroft road	None	 wednesday-2
yeaman place	None	 friday-1
